id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Wind_Onshore,2050,true,49.0,,504.0
2,NL_Wind_Offshore,2050,true,49.0,,0.0
3,NL_Coal,2050,true,824.0,,5.0
4,NL_Nuclear,2050,true,2095.0,,0.0
5,NL_CCGT,2050,true,357.0,,7.0
6,NL_OCGT,2050,true,357.0,,4.0
7,NL_Battery,2050,false,100.0,,0.002606611496393074
8,BE_Solar,2050,true,18.0,,329.0
9,BE_Wind_Onshore,2050,true,49.0,,404.0
10,BE_Coal,2050,true,824.0,,3.0
11,BE_Nuclear,2050,true,2095.0,,0.0
12,BE_CCGT,2050,true,357.0,,3.0
13,BE_OCGT,2050,true,357.0,,5.0
14,BE_Battery,2050,false,100.0,,0.10810238512457981
15,DE_Solar,2050,true,18.0,,2307.0
16,DE_Wind_Offshore,2050,true,49.0,,0.0
17,DE_Coal,2050,true,824.0,,24.0
18,DE_Nuclear,2050,true,2095.0,,0.0
19,DE_CCGT,2050,true,357.0,,27.0
20,DE_OCGT,2050,true,357.0,,28.0
21,DE_Battery,2050,false,100.0,,0.004245995237724855
22,FR_Solar,2050,true,18.0,,1438.0
23,FR_Wind_Onshore,2050,true,49.0,,2263.0
24,FR_Wind_Offshore,2050,true,49.0,,0.0
25,FR_Coal,2050,true,824.0,,7.0
26,FR_CCGT,2050,true,357.0,,26.0
27,FR_OCGT,2050,true,357.0,,9.0
28,FR_Battery,2050,false,100.0,,0.18528336988434602
29,LU_Solar,2050,true,18.0,,39.0
30,LU_Wind_Onshore,2050,true,49.0,,35.0
31,LU_Wind_Offshore,2050,true,49.0,,-0.0
32,LU_Coal,2050,true,824.0,,0.0
33,LU_Nuclear,2050,true,2095.0,,0.0
34,LU_CCGT,2050,true,357.0,,1.0
35,LU_OCGT,2050,true,357.0,,0.0
36,LU_Battery,2050,false,100.0,,0.8966679034935234
37,CH_Solar,2050,true,18.0,,386.0
38,CH_Wind_Onshore,2050,true,49.0,,237.0
39,CH_Wind_Offshore,2050,true,49.0,,-0.0
40,CH_Coal,2050,true,824.0,,5.0
41,CH_Nuclear,2050,true,2095.0,,-0.0
42,CH_OCGT,2050,true,357.0,,3.0
43,CH_Battery,2050,false,100.0,,0.0
44,UK_Solar,2050,true,18.0,,0.0
45,UK_Coal,2050,true,824.0,,0.0
46,UK_Nuclear,2050,true,2095.0,,0.0
47,UK_CCGT,2050,true,357.0,,23.0
48,UK_OCGT,2050,true,357.0,,9.0
49,UK_Battery,2050,false,100.0,,3.1104576810180515
50,DK_Solar,2050,true,18.0,,189.0
51,DK_Wind_Offshore,2050,true,49.0,,0.0
52,DK_Coal,2050,true,824.0,,1.0
53,DK_Nuclear,2050,true,2095.0,,0.0
54,DK_OCGT,2050,true,357.0,,1.0
55,DK_Battery,2050,false,100.0,,0.017693893211086734
56,NO_Solar,2050,true,18.0,,0.0
57,NO_Wind_Onshore,2050,true,49.0,,730.0
58,NO_Wind_Offshore,2050,true,49.0,,0.0
59,NO_Nuclear,2050,true,2095.0,,0.0
60,NO_CCGT,2050,true,357.0,,10.0
61,NO_OCGT,2050,true,357.0,,1.0
62,NO_Battery,2050,false,100.0,,0.09155483119391647
63,IE_Solar,2050,true,18.0,,23.0
64,IE_Wind_Onshore,2050,true,49.0,,173.0
65,IE_Wind_Offshore,2050,true,49.0,,0.0
66,IE_Coal,2050,true,824.0,,0.0
67,IE_Nuclear,2050,true,2095.0,,0.0
68,IE_CCGT,2050,true,357.0,,1.0
69,IE_OCGT,2050,true,357.0,,2.0
70,SE_Wind_Onshore,2050,true,49.0,,674.0
71,SE_Coal,2050,true,824.0,,4.0
72,SE_Nuclear,2050,true,2095.0,,0.0
73,SE_CCGT,2050,true,357.0,,11.0
74,SE_OCGT,2050,true,357.0,,4.0
75,SE_Battery,2050,false,100.0,,0.01720456994095043
76,AT_Solar,2050,true,18.0,,375.0
77,AT_Wind_Onshore,2050,true,49.0,,370.0
78,AT_Wind_Offshore,2050,true,49.0,,-0.0
79,AT_Coal,2050,true,824.0,,3.0
80,AT_Nuclear,2050,true,2095.0,,-0.0
81,AT_CCGT,2050,true,357.0,,3.0
82,AT_OCGT,2050,true,357.0,,9.0
83,AT_Battery,2050,false,100.0,,1.6090867394494417
84,CZ_Wind_Onshore,2050,true,49.0,,300.0
85,CZ_Wind_Offshore,2050,true,49.0,,-0.0
86,CZ_Coal,2050,true,824.0,,3.0
87,CZ_Nuclear,2050,true,2095.0,,-0.0
88,CZ_CCGT,2050,true,357.0,,2.0
89,CZ_OCGT,2050,true,357.0,,3.0
90,CZ_Battery,2050,false,100.0,,1.2853481046265978
91,PL_Solar,2050,true,18.0,,346.0
92,PL_Wind_Onshore,2050,true,49.0,,741.0
93,PL_Wind_Offshore,2050,true,49.0,,0.0
94,PL_Coal,2050,true,824.0,,7.0
95,PL_OCGT,2050,true,357.0,,3.0
96,PL_Battery,2050,false,100.0,,0.10899757370129043
97,ES_Solar,2050,true,18.0,,1060.0
98,ES_Wind_Offshore,2050,true,49.0,,0.0
99,ES_Coal,2050,true,824.0,,13.0
100,ES_Nuclear,2050,true,2095.0,,0.0
101,ES_CCGT,2050,true,357.0,,14.0
102,ES_OCGT,2050,true,357.0,,22.0
103,IT_Solar,2050,true,18.0,,2730.0
104,IT_Wind_Offshore,2050,true,49.0,,0.0
105,IT_Coal,2050,true,824.0,,29.0
106,IT_Nuclear,2050,true,2095.0,,0.0
107,IT_CCGT,2050,true,357.0,,15.0
108,IT_OCGT,2050,true,357.0,,23.0
109,IT_Battery,2050,false,100.0,,5.406716804120509
110,LT_Wind_Onshore,2050,true,49.0,,35.0
111,LT_Wind_Offshore,2050,true,49.0,,-0.0
112,LT_Coal,2050,true,824.0,,0.0
113,LT_Nuclear,2050,true,2095.0,,0.0
114,LT_CCGT,2050,true,357.0,,2.0
115,LT_OCGT,2050,true,357.0,,1.0
116,LT_Battery,2050,false,100.0,,0.0
117,FI_Solar,2050,true,18.0,,280.0
118,FI_Wind_Onshore,2050,true,49.0,,504.0
119,FI_Wind_Offshore,2050,true,49.0,,0.0
120,FI_Coal,2050,true,824.0,,4.0
121,FI_Nuclear,2050,true,2095.0,,0.0
122,FI_OCGT,2050,true,357.0,,3.0
123,FI_Battery,2050,false,100.0,,0.08168100009654154
124,SI_Solar,2050,true,18.0,,48.0
125,SI_Wind_Onshore,2050,true,49.0,,45.0
126,SI_Wind_Offshore,2050,true,49.0,,0.0
127,SI_Coal,2050,true,824.0,,1.0
128,SI_Nuclear,2050,true,2095.0,,0.0
129,SI_OCGT,2050,true,357.0,,1.0
130,SI_Battery,2050,false,100.0,,0.3057261405083367
131,HU_Solar,2050,true,18.0,,314.0
132,HU_Wind_Onshore,2050,true,49.0,,257.0
133,HU_Wind_Offshore,2050,true,49.0,,-0.0
134,HU_Coal,2050,true,824.0,,3.0
135,HU_OCGT,2050,true,357.0,,6.0
136,HU_Battery,2050,false,100.0,,1.4558433990757464
137,SK_Wind_Onshore,2050,true,49.0,,38.0
138,SK_Wind_Offshore,2050,true,49.0,,-0.0
